"P6020","P6040","P5502","P6080","P1895","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
2,44,2,6,10,7,3800000,4,1,3
1,61,6,5,6,5,3656652.83333333,10,1,2
1,79,6,6,8,11,4200000,2,1,3
2,37,5,6,8,9,1365000,3,1,3
1,72,5,5,10,4,765833.333333333,3,1,2
1,73,5,6,10,3,1785721.91666667,1,1,2
2,74,3,6,9,3,1800000,2,1,2
1,41,2,6,10,3,7150000,5,1,3
2,26,4,6,6,5,5170000,4,1,2
2,39,4,5,5,11,178333.333333333,3,1,2
1,24,2,6,7,5,722500,4,1,2
1,60,3,5,8,3,3343000,6,1,2
1,65,6,5,9,4,1533333.33333333,2,1,2
1,35,6,5,8,7,1472500,4,1,2
1,35,2,5,10,5,2178316,4,1,2
2,55,2,6,7,4,1793116,3,1,2
1,64,2,5,8,11,2200000,3,1,2
1,34,2,5,6,5,5e+05,2,1,2
2,46,5,5,6,11,2662948.33333333,1,1,2
2,50,4,5,7,3,705000,2,1,2
1,31,2,6,7,6,2323157.66666667,3,2,9
2,74,5,6,10,7,1100000,3,2,3
1,56,6,6,5,13,3e+06,3,2,4
2,63,5,6,4,13,7709987.58333333,2,2,3
1,79,3,6,8,3,1250000,2,2,2
1,58,1,6,10,9,3800000,4,2,3
2,36,4,6,5,3,857500,5,2,2
1,54,4,6,10,13,7e+06,2,2,3
1,76,6,6,8,4,3250000,2,2,3
1,42,6,6,9,4,2620000,6,2,3
2,68,3,6,10,13,3940000,1,4,2
2,33,6,6,10,NA,6370666.66666667,1,4,2
1,50,2,6,8,5,1080000,2,4,2
1,59,6,1,8,11,6608333.33333333,4,4,3
2,40,2,6,1,5,1770600,4,4,2
2,36,6,5,8,13,8131000,4,4,3
1,29,5,6,5,NA,35000,1,4,2
1,39,5,6,10,11,2604666.66666667,3,9,2
1,60,4,6,9,11,5500000,1,9,0
2,30,6,6,10,4,4454166.66666667,4,9,2
1,75,6,6,8,1,1033333.33333333,4,9,1
1,48,6,6,4,3,985833.333333333,3,9,1
2,47,2,6,8,3,344000,1,9,2
1,41,2,6,8,3,2455833.33333333,2,9,1
1,53,2,6,8,3,895000,3,9,1
1,24,1,6,10,7,1178000,2,9,1
2,82,6,6,5,3,7e+05,2,9,1
2,27,2,6,10,5,960000,2,9,1
1,41,2,6,10,3,2133481.33333333,2,9,1
2,49,5,6,9,3,650000,2,9,1
2,59,6,6,6,1,375000,1,9,1
1,40,1,6,5,4,420000,8,9,1
2,35,5,1,8,6,685000,3,9,1
2,25,5,6,7,11,3100000,1,9,1
2,53,4,6,10,3,1294148,1,9,1
2,22,5,5,7,NA,1600000,2,9,1
1,33,5,6,8,3,1125694.5,1,9,1
1,37,4,6,6,7,2147000,1,9,1
2,24,6,6,10,7,1481666.66666667,1,9,1
2,55,5,6,10,1,220000,3,9,2
2,42,2,6,8,9,863500,3,9,1
1,26,6,6,8,7,3442000,3,9,2
1,76,6,6,9,3,2e+05,2,9,1
1,73,6,6,10,3,550000,2,9,1
2,58,5,6,7,3,2999166.66666667,3,9,3
1,52,6,6,10,3,1495833.33333333,5,9,1
1,44,2,6,5,5,972000,3,9,2
