"ï..DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P6051","P6020","P6040","P5502","P6080","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
7120001,1,1,1,2,44,2,6,7,3800000,4,1,3
7120002,1,1,1,1,61,6,5,5,3656652.83333333,10,1,2
7120005,1,1,1,1,79,6,6,11,4200000,2,1,3
7120006,1,1,1,2,37,5,6,9,1365000,3,1,3
7120007,1,1,1,1,72,5,5,4,765833.333333333,3,1,2
7120008,1,1,1,1,73,5,6,3,1785721.91666667,1,1,2
7120009,1,1,1,2,74,3,6,3,1800000,2,1,2
7120010,1,1,1,1,41,2,6,3,7150000,5,1,3
7120013,1,1,1,2,26,4,6,5,5170000,4,1,2
7120016,1,1,1,2,39,4,5,11,178333.333333333,3,1,2
7120018,1,1,1,1,24,2,6,5,722500,4,1,2
7120019,1,1,1,1,60,3,5,3,3343000,6,1,2
7120022,1,1,1,1,65,6,5,4,1533333.33333333,2,1,2
7120023,1,1,1,1,35,6,5,7,1472500,4,1,2
7120024,1,1,1,1,35,2,5,5,2178316,4,1,2
7120025,1,1,1,2,55,2,6,4,1793116,3,1,2
7120028,1,1,1,1,64,2,5,11,2200000,3,1,2
7120030,1,1,1,1,34,2,5,5,5e+05,2,1,2
7120031,1,1,1,2,46,5,5,11,2662948.33333333,1,1,2
7120032,1,1,1,2,50,4,5,3,705000,2,1,2
7120033,1,1,1,1,31,2,6,6,2323157.66666667,3,2,9
7120034,1,1,1,2,74,5,6,7,1100000,3,2,3
7120035,1,1,1,1,56,6,6,13,3e+06,3,2,4
7120036,1,1,1,2,63,5,6,13,7709987.58333333,2,2,3
7120037,1,1,1,1,79,3,6,3,1250000,2,2,2
7120039,1,1,1,1,58,1,6,9,3800000,4,2,3
7120041,1,1,1,2,36,4,6,3,857500,5,2,2
7120044,1,1,1,1,54,4,6,13,7e+06,2,2,3
7120045,1,1,1,1,76,6,6,4,3250000,2,2,3
7120046,1,1,1,1,42,6,6,4,2620000,6,2,3
7120048,1,1,1,2,68,3,6,13,3940000,1,4,2
7120050,1,1,1,2,33,6,6,NA,6370666.66666667,1,4,2
7120052,1,1,1,1,50,2,6,5,1080000,2,4,2
7120053,1,1,1,1,59,6,1,11,6608333.33333333,4,4,3
7120054,1,1,1,2,40,2,6,5,1770600,4,4,2
7120055,1,1,1,2,36,6,5,13,8131000,4,4,3
7120056,1,1,1,1,29,5,6,NA,35000,1,4,2
7120059,1,1,1,1,39,5,6,11,2604666.66666667,3,9,2
7120060,1,1,1,1,60,4,6,11,5500000,1,9,0
7120061,1,1,1,2,30,6,6,4,4454166.66666667,4,9,2
7120062,1,1,1,1,75,6,6,1,1033333.33333333,4,9,1
7120063,1,1,1,1,48,6,6,3,985833.333333333,3,9,1
7120064,1,1,1,2,47,2,6,3,344000,1,9,2
7120065,1,1,1,1,41,2,6,3,2455833.33333333,2,9,1
7120066,1,1,1,1,53,2,6,3,895000,3,9,1
7120067,1,1,1,1,24,1,6,7,1178000,2,9,1
7120069,1,1,1,2,82,6,6,3,7e+05,2,9,1
7120070,1,1,1,2,27,2,6,5,960000,2,9,1
