"P6020","P6040","P5502","P6080","P1895","P8587","I_HOGAR","I_UGASTO","REGION","P8520S1","P8520S1A1","HIJOS"
2,44,2,6,10,7,3800000,3800000,1,1,3,1
1,61,6,5,6,5,3656652.83333333,3656652.83333333,1,1,2,5
1,79,6,6,8,11,4200000,4200000,1,1,3,0
2,37,5,6,8,9,1365000,1365000,1,1,3,0
1,72,5,5,10,4,765833.333333333,765833.333333333,1,1,2,0
1,73,5,6,10,3,1785721.91666667,1785721.91666667,1,1,2,0
2,74,3,6,9,3,1800000,1800000,1,1,2,1
1,41,2,6,10,3,7150000,7150000,1,1,3,3
2,26,4,6,6,5,5170000,5170000,1,1,2,0
2,39,4,5,5,11,178333.333333333,178333.333333333,1,1,2,2
1,24,2,6,7,5,722500,722500,1,1,2,2
1,60,3,5,8,3,3343000,3343000,1,1,2,1
1,65,6,5,9,4,1533333.33333333,1533333.33333333,1,1,2,0
1,35,6,5,8,7,1472500,1472500,1,1,2,2
1,35,2,5,10,5,2178316,2178316,1,1,2,2
2,55,2,6,7,4,1793116,1793116,1,1,2,1
1,64,2,5,8,11,2200000,2200000,1,1,2,0
1,34,2,5,6,5,5e+05,5e+05,1,1,2,0
2,46,5,5,6,11,2662948.33333333,2662948.33333333,1,1,2,0
2,50,4,5,7,3,705000,705000,1,1,2,1
1,31,2,6,7,6,2323157.66666667,2323157.66666667,2,1,9,1
2,74,5,6,10,7,1100000,1100000,2,1,3,0
1,56,6,6,5,13,3e+06,3e+06,2,1,4,1
2,63,5,6,4,13,7709987.58333333,7709987.58333333,2,1,3,0
1,79,3,6,8,3,1250000,1250000,2,1,2,0
1,58,1,6,10,9,3800000,3800000,2,1,3,2
2,36,4,6,5,3,857500,857500,2,1,2,4
1,54,4,6,10,13,7e+06,7e+06,2,1,3,0
1,76,6,6,8,4,3250000,3250000,2,1,3,0
1,42,6,6,9,4,2620000,2620000,2,1,3,4
2,68,3,6,10,13,3940000,3940000,4,1,2,0
2,33,6,6,10,NA,6370666.66666667,6370666.66666667,4,1,2,0
1,50,2,6,8,5,1080000,1080000,4,1,2,0
1,59,6,1,8,11,6608333.33333333,6608333.33333333,4,1,3,2
2,40,2,6,1,5,1770600,1770600,4,1,2,2
2,36,6,5,8,13,8131000,8131000,4,1,3,2
1,29,5,6,5,NA,35000,35000,4,1,2,0
1,39,5,6,10,11,2604666.66666667,2604666.66666667,9,1,2,0
1,60,4,6,9,11,5500000,5500000,9,1,0,0
2,30,6,6,10,4,4454166.66666667,4454166.66666667,9,1,2,2
1,75,6,6,8,1,1033333.33333333,1033333.33333333,9,1,1,1
1,48,6,6,4,3,985833.333333333,985833.333333333,9,1,1,1
2,47,2,6,8,3,344000,344000,9,1,2,0
1,41,2,6,8,3,2455833.33333333,2455833.33333333,9,1,1,0
1,53,2,6,8,3,895000,895000,9,1,1,1
1,24,1,6,10,7,1178000,1178000,9,1,1,0
2,82,6,6,5,3,7e+05,7e+05,9,1,1,0
2,27,2,6,10,5,960000,960000,9,1,1,1
1,41,2,6,10,3,2133481.33333333,2133481.33333333,9,1,1,0
2,49,5,6,9,3,650000,650000,9,1,1,1
2,59,6,6,6,1,375000,375000,9,1,1,0
1,40,1,6,5,4,420000,420000,9,1,1,6
2,35,5,1,8,6,685000,685000,9,1,1,2
2,25,5,6,7,11,3100000,3100000,9,1,1,0
2,53,4,6,10,3,1294148,1294148,9,1,1,0
2,22,5,5,7,NA,1600000,1600000,9,1,1,0
1,33,5,6,8,3,1125694.5,1125694.5,9,1,1,0
1,37,4,6,6,7,2147000,2147000,9,1,1,0
2,24,6,6,10,7,1481666.66666667,1481666.66666667,9,1,1,0
2,55,5,6,10,1,220000,220000,9,1,2,1
2,42,2,6,8,9,863500,863500,9,1,1,1
1,26,6,6,8,7,3442000,3442000,9,1,2,1
1,76,6,6,9,3,2e+05,2e+05,9,1,1,0
1,73,6,6,10,3,550000,550000,9,1,1,0
2,58,5,6,7,3,2999166.66666667,2999166.66666667,9,1,3,1
1,52,6,6,10,3,1495833.33333333,1495833.33333333,9,1,1,2
1,44,2,6,5,5,972000,972000,9,1,2,1
2,32,5,6,7,7,1073116,1073116,9,1,1,1
1,62,2,5,9,7,4900000,4900000,1,1,2,2
1,78,3,6,5,3,1004782.66666667,1004782.66666667,1,1,2,1
2,47,4,5,7,5,828000,828000,1,1,2,2
1,51,6,6,8,4,4828211,4828211,1,1,1,2
1,63,6,6,8,5,2118744.33333333,2118744.33333333,1,1,1,3
1,29,6,6,9,11,4833333.33333333,4833333.33333333,1,1,1,1
1,40,6,6,10,5,3056422,3056422,1,1,1,3
1,61,6,5,9,5,3025000,3025000,1,1,1,1
2,40,4,6,7,11,446666.666666667,446666.666666667,1,1,1,2
1,41,4,6,3,8,25000,25000,1,1,1,0
2,52,3,5,8,5,2389949.33333333,2389949.33333333,1,1,1,0
1,55,2,4,8,3,680000,680000,1,1,1,0
2,46,5,5,8,4,310000,310000,1,1,1,2
1,56,5,6,6,3,1030000,1030000,1,1,1,0
1,37,6,5,7,5,816666.666666667,816666.666666667,1,1,1,2
1,54,6,6,6,4,1290000,1290000,1,1,1,2
2,57,4,5,9,4,812500,812500,1,1,1,0
2,34,2,6,7,3,1615616,1615616,1,1,0,3
2,70,4,5,6,3,1622032,1622032,1,1,1,0
2,31,2,6,10,4,1496615.33333333,1496615.33333333,1,1,1,2
2,62,4,5,8,4,3e+05,3e+05,1,1,1,1
1,38,2,6,8,5,870666.666666667,870666.666666667,1,1,1,3
1,24,6,6,9,5,1102152.83333333,1102152.83333333,1,1,1,2
2,59,4,5,10,4,0,0,1,1,1,0
2,31,2,6,8,5,1021652.83333333,1021652.83333333,1,1,1,1
2,19,2,6,8,NA,545000,545000,1,1,1,1
1,45,2,5,8,1,7e+05,7e+05,1,1,1,4
2,51,2,5,10,3,554666.666666667,554666.666666667,1,1,1,0
1,59,2,1,5,3,1150000,1150000,1,1,4,1
1,70,2,5,5,4,668333.333333333,668333.333333333,1,1,4,0
1,57,4,6,10,3,1062000,1062000,1,1,4,0
1,52,6,6,9,4,1129000,1129000,1,1,4,0
1,44,6,5,10,1,1986666.66666667,1986666.66666667,1,1,4,3
1,52,4,6,10,3,7e+05,7e+05,1,1,4,0
2,47,4,1,5,4,904500,904500,1,1,2,1
1,48,6,6,9,4,2e+06,2e+06,1,1,2,0
2,36,2,5,9,7,1871666.66666667,1871666.66666667,1,1,2,2
2,71,3,5,5,5,360416.666666667,360416.666666667,1,1,2,1
1,51,6,6,8,7,3030000,3030000,1,1,2,2
2,31,2,6,1,9,1400000,1400000,1,1,2,2
2,35,4,6,10,7,861666.666666667,861666.666666667,1,1,2,2
2,33,2,5,10,4,1182500,1182500,1,1,2,2
2,21,2,6,8,5,9e+05,9e+05,1,1,2,1
1,32,2,5,10,9,970000,970000,1,1,2,2
2,31,4,6,10,7,4e+05,4e+05,1,1,2,3
1,41,4,1,10,11,1500000,1500000,1,1,2,3
2,76,3,5,4,1,1866666.66666667,1866666.66666667,1,1,2,1
2,72,3,6,7,3,1100000,1100000,1,1,2,1
2,62,2,6,3,5,1132000,1132000,1,1,2,0
1,56,2,5,7,3,3804500,3804500,1,1,2,3
1,58,2,6,8,3,1272500,1272500,1,1,2,2
1,57,2,6,8,3,1200000,1200000,1,1,2,0
1,30,2,6,7,1,60000,60000,1,1,1,1
2,46,1,6,8,3,1159833.33333333,1159833.33333333,1,1,0,1
1,73,2,6,7,1,996000,996000,1,1,0,2
1,49,2,6,8,5,570000,570000,1,1,1,3
2,71,5,5,9,4,286666.666666667,286666.666666667,1,1,2,0
2,30,5,6,8,4,210000,210000,1,1,0,2
1,53,4,6,6,5,0,0,1,1,2,0
1,69,6,5,10,11,7633333.33333333,7633333.33333333,1,1,2,0
1,38,2,6,10,3,1532583.33333333,1532583.33333333,1,1,0,4
1,35,2,6,8,5,1080000,1080000,1,1,2,2
2,30,5,6,9,4,70000,70000,1,1,1,3
2,43,4,6,8,3,330000,330000,1,1,0,2
2,30,2,5,5,5,668666.666666667,668666.666666667,1,1,1,3
2,49,2,6,0,4,794000,794000,1,1,1,2
1,57,6,6,8,5,8e+05,8e+05,1,1,3,0
2,27,2,1,10,7,2047000,2047000,1,1,3,1
1,37,5,1,10,3,720000,720000,1,1,3,0
2,49,2,6,10,7,4e+05,4e+05,1,1,3,0
1,22,4,5,8,5,528333.333333333,528333.333333333,1,1,3,1
1,35,5,5,9,11,9e+05,9e+05,1,1,3,0
1,25,2,6,9,3,850000,850000,1,1,0,2
1,31,2,6,9,3,309583.333333333,309583.333333333,1,1,0,4
2,68,1,6,10,1,7e+05,7e+05,1,1,0,0
2,20,2,1,10,4,1212666.66666667,1212666.66666667,1,1,0,1
1,48,3,6,8,3,9e+05,9e+05,1,1,1,2
1,24,4,5,10,3,450000,450000,1,1,0,0
1,40,2,6,8,4,458000,458000,1,1,0,3
2,52,4,5,8,1,780000,780000,1,1,1,2
2,56,4,6,9,3,780000,780000,1,1,2,1
1,33,1,6,10,5,790000,790000,1,1,1,1
1,26,1,6,7,4,2200000,2200000,1,1,1,0
2,52,4,6,5,4,886500,886500,1,1,1,2
2,25,5,6,7,11,750000,750000,1,1,2,0
2,23,5,5,7,4,6e+05,6e+05,1,1,2,0
2,52,2,6,3,4,1375000,1375000,1,1,3,0
2,76,3,6,8,3,789583.333333333,789583.333333333,1,1,3,0
1,39,4,6,9,7,1041666.66666667,1041666.66666667,1,1,3,0
2,47,2,6,8,5,2507333.33333333,2507333.33333333,1,1,3,4
1,62,4,6,8,11,4300000,4300000,1,1,3,1
1,32,6,6,10,5,1e+05,1e+05,1,1,1,0
1,29,2,6,4,5,305000,305000,1,1,1,2
1,62,2,6,4,3,235000,235000,1,1,1,0
1,25,2,6,7,5,6e+05,6e+05,1,1,1,1
1,65,6,6,7,4,374166.666666667,374166.666666667,1,1,1,0
1,77,6,6,8,3,475000,475000,1,1,1,0
1,53,6,6,10,1,1800000,1800000,1,1,1,0
2,73,3,6,7,3,3e+05,3e+05,1,1,1,0
2,37,4,5,8,5,507833.333333333,507833.333333333,1,1,1,1
2,50,4,6,7,1,216666.666666667,216666.666666667,1,1,1,0
1,75,6,6,8,3,625000,625000,1,1,1,1
1,46,6,6,9,3,1258116,1258116,1,1,1,3
1,63,6,6,8,5,650000,650000,1,1,1,0
1,60,6,6,5,11,3620000,3120000,5,1,3,0
2,57,2,6,9,5,3250000,3250000,5,1,3,0
1,85,2,6,6,1,430000,430000,3,1,2,0
2,53,5,6,6,3,2400000,2400000,3,1,2,1
1,39,6,6,10,5,2137666.66666667,2137666.66666667,3,1,2,3
